For nLines = 100000 processing time was 1.03284692764
         2060528 function calls (2060440 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 core.py:2563(MaskedArray)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
      272    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
      272    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       15    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        8    0.000    0.000    0.000    0.000 core.py:7190(__init__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        5    0.000    0.000    0.000    0.000 {map}
        8    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        8    0.000    0.000    0.000    0.000 core.py:7195(getdoc)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       19    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
      112    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
      115    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       46    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
       21    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
      512    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
